ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
1, The police brought the situation _______ control., 熟語の問題。under control ,under,with,within,for
2," California's biggest problem is its budget _______, which amounts to about 38 billion dollars.", 語彙の問題。deficit は赤字。,deficit,constraint,delay,tightness
3, Three hours _______ not enough time for us to finish the job., ここでは、 three hours は「三時間とは」という意味で、単数扱いになる。,was,were,have been,been
4, The proposal for simplifying administrative procedures _______ at the end of this year., 動詞の形(受け身or能動態or過去形など。。。。)の問題。ここでは、受け身にする。主語は proposalなので単数。,was adopted,were adopted,adopted,adopt
5, The number of lung cancer patients is _______ to increase by 2010., 適切な品詞を選ぶ。ここでは副詞の likely しか入りえない。,likely,like,probable,be
6, We told him that we had seen her two years _______.,  ago と before の違いについては、<a href=http://tottocobkhinata.cocolog-nifty.com/bizieizakkicho/2005/08/agobefore_2a3d.html>ここ</a>,before,ago,behind,lately
7, The terms of the contract are subject _______ change., 熟語の問題。 be subject to ..   Morterists who violate this ordinance will be subject to a fine of .....,to,from,for,with
8," When I was a child, I _______ horse droppings on the street.",,used to pick up,have picked up,had picked up,will pick up
9," To start the washing machine, you must _______ 50 cents when the green light comes on.",,insert,in,install,insist
10, I _______ earlier had I known about the accident.,,would have gone,have gone,would had gone,would go
11, A lion is at the _______ of his strength at the age of three.," hight = (fig)  the highest degree, the extreme point.",hight,high,highness,highest
12, They are very _______ articles to read and no one seems to understand them.,,tiring,tired,tire,tireless
13, He had not prepared for the test and failed _______,,badly,very much,considerably,terrible
14, We normally _______ this brand but we can order it for you.,,do not stock,are not stocking,cannot stock,haven't stocked
15, Your plan to save the company is rather _______ and I would vote against it.,,risky,riskful,riskiness,much a risk
16, You have to do what you _______,,are told,are telling,have been said,are said
17, He will _______ on the 5:00 train., be arrive はとんでもない英語。問題外。 受け身にもできないので、be arrived も不可。未来完了もあり得ない。,be arriving,be arrive,be arrived,have arrived
18, The study shows that the unemployment rate will _______ sharply in the coming months., riseは自動詞で、「上がる」という意味。raise は「上げる」p.6,rise,raise,raised,rising
19, The contract with MT Electronics will _______ at the end of this month., expire は期限切れになるという自動詞。契約が切れるは、the contract will expire  受け身にしたくなるところだが、してはいけない。他の動詞は意味的にここでは無理。p.6,expire,pass,finish,terminate
20, The area _______ undeveloped for two years because the owner went bankrupt., これは、S+V+Cの文型。p.6,remained,was remained,remain,remaining
21, N.Y.Museum will _______ a contemporary art exhibition from May 15 to June 30., p.8,hold,rise,contact,enroll
22," In April 2009, Allen Roderick _______ to Vice President of the company.", p.8,was promoted,promoting,promoted,was promoting
23, Many computer problems _______ by using the factory-installed help files., Many computer problems (コンピュータの問題)が解決されるという意味なので受け身。 受け身なのは、 can be solved だけ。,can be solved,solved,can solve,could solve
24, Tour participants have to let the conductor _______ before leaving the group for any reason., p.10,know,knew,to know,known
25, Flight attendants saw passengers _______ the plane in haste., p.10,boarding,boarded,to board,for boarding
26," As a member of our After Care service plan, you'll be able to have your PC problems _______ care of within hours through our 24-hour support line.", p.10,taken,take,taking,have taken
27, The Insight 105 laptop computer _______ now available at HDD.com., p.12,is,was,being,had been
28, Earthquakes frequently _______ in the Bay Area of California., p.12,occur,occurs,was occurred,was occurring
29, This card automatically _______ on June 20 if not renewed., p.12,expires,expiring,has been expired,is expired
30, Board members _______ the purchase of the P&N Inc. plastics business last night., p.14,announced,announce,announcing,announcement
31, The United Nations recently _______ a major survey about the quality of life in each country., p.14,conducted,conducting,conducts,has been conducted
32, Infotech Corporation _______ in 1950 with only a handful of employees., p.14,was founded,found,founded,is founded
